=== BET-104c: n_emit=64 wall=ON@15.0 ===
[LOC] 500s [WARM]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 1000s [WARM]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 1500s [WARM]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 2000s [STIM]: stim=1.00(n=1) ctrl=0.00(n=0)
[LOC] 2500s [STIM]: stim=0.00(n=0) ctrl=1.00(n=1)
[LOC] 3000s [STIM]: stim=0.00(n=0) ctrl=1.00(n=5)
[LOC] field cleared at STIM end
[LOC] 3500s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 4000s [POST]: stim=1.00(n=3) ctrl=0.00(n=0)
[LOC] 4500s [POST]: stim=1.00(n=5) ctrl=0.00(n=0)
[LOC] 5000s [POST]: stim=1.00(n=1) ctrl=0.00(n=0)
[LOC] 5500s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 6000s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 6500s [POST]: stim=0.00(n=0) ctrl=1.00(n=1)
[LOC] 7000s [POST]: stim=0.00(n=0) ctrl=1.00(n=5)
[LOC] 7500s [POST]: stim=0.00(n=0) ctrl=1.00(n=5)
[LOC] 8000s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 8500s [POST]: stim=1.00(n=4) ctrl=0.00(n=0)
[LOC] 9000s [POST]: stim=1.00(n=2) ctrl=0.00(n=0)
[LOC] 9500s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 10000s [POST]: stim=0.00(n=0) ctrl=1.00(n=5)
[LOC] 10500s [POST]: stim=0.00(n=0) ctrl=1.00(n=3)
[LOC] 11000s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 11500s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 12000s [POST]: stim=1.00(n=1) ctrl=0.00(n=0)
[LOC] 12500s [POST]: stim=1.00(n=3) ctrl=0.00(n=0)
[LOC] 13000s [POST]: stim=1.00(n=6) ctrl=0.00(n=0)
[LOC] 13500s [POST]: stim=1.00(n=1) ctrl=0.00(n=0)
[LOC] 14000s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 14500s [POST]: stim=0.00(n=0) ctrl=1.00(n=5)
[LOC] 15000s [POST]: stim=0.00(n=0) ctrl=1.00(n=1)
[LOC] 15500s [POST]: stim=1.00(n=1) ctrl=0.00(n=0)
[LOC] 16000s [POST]: stim=1.00(n=5) ctrl=0.00(n=0)
[LOC] 16500s [POST]: stim=1.00(n=1) ctrl=0.00(n=0)
[LOC] 17000s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[LOC] 17500s [POST]: stim=0.00(n=0) ctrl=1.00(n=1)
[LOC] 18000s [POST]: stim=0.00(n=0) ctrl=1.00(n=2)
[LOC] 18500s [POST]: stim=0.00(n=0) ctrl=1.00(n=5)
[LOC] 19000s [POST]: stim=0.00(n=0) ctrl=1.00(n=5)
[LOC] 19500s [POST]: stim=0.00(n=0) ctrl=1.00(n=1)
[LOC] 20000s [POST]: stim=1.00(n=1) ctrl=0.00(n=0)
[UNI] 500s [WARM]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 1000s [WARM]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 1500s [WARM]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 2000s [STIM]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 2500s [STIM]: stim=1.00(n=4) ctrl=0.00(n=0)
[UNI] 3000s [STIM]: stim=1.00(n=6) ctrl=0.00(n=0)
[UNI] field cleared at STIM end
[UNI] 3500s [POST]: stim=1.00(n=5) ctrl=0.00(n=0)
[UNI] 4000s [POST]: stim=1.00(n=5) ctrl=0.00(n=0)
[UNI] 4500s [POST]: stim=1.00(n=5) ctrl=0.00(n=0)
[UNI] 5000s [POST]: stim=1.00(n=5) ctrl=0.00(n=0)
[UNI] 5500s [POST]: stim=1.00(n=2) ctrl=0.00(n=0)
[UNI] 6000s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 6500s [POST]: stim=0.00(n=0) ctrl=1.00(n=5)
[UNI] 7000s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 7500s [POST]: stim=1.00(n=5) ctrl=0.00(n=0)
[UNI] 8000s [POST]: stim=1.00(n=1) ctrl=0.00(n=0)
[UNI] 8500s [POST]: stim=0.00(n=0) ctrl=1.00(n=1)
[UNI] 9000s [POST]: stim=0.00(n=0) ctrl=1.00(n=3)
[UNI] 9500s [POST]: stim=0.00(n=0) ctrl=1.00(n=4)
[UNI] 10000s [POST]: stim=0.00(n=0) ctrl=1.00(n=4)
[UNI] 10500s [POST]: stim=0.00(n=0) ctrl=1.00(n=3)
[UNI] 11000s [POST]: stim=0.00(n=0) ctrl=1.00(n=4)
[UNI] 11500s [POST]: stim=0.00(n=0) ctrl=1.00(n=5)
[UNI] 12000s [POST]: stim=0.00(n=0) ctrl=1.00(n=1)
[UNI] 12500s [POST]: stim=1.00(n=3) ctrl=0.00(n=0)
[UNI] 13000s [POST]: stim=1.00(n=2) ctrl=0.00(n=0)
[UNI] 13500s [POST]: stim=0.00(n=0) ctrl=1.00(n=3)
[UNI] 14000s [POST]: stim=0.00(n=0) ctrl=1.00(n=3)
[UNI] 14500s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 15000s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 15500s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 16000s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 16500s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 17000s [POST]: stim=1.00(n=1) ctrl=0.00(n=0)
[UNI] 17500s [POST]: stim=1.00(n=4) ctrl=0.00(n=0)
[UNI] 18000s [POST]: stim=1.00(n=3) ctrl=0.00(n=0)
[UNI] 18500s [POST]: stim=0.00(n=0) ctrl=1.00(n=1)
[UNI] 19000s [POST]: stim=0.00(n=0) ctrl=1.00(n=4)
[UNI] 19500s [POST]: stim=0.00(n=0) ctrl=0.00(n=0)
[UNI] 20000s [POST]: stim=1.00(n=6) ctrl=0.00(n=0)

--- VERDICT ---
fire ratio=26.0 | LOC stim-frac=0.00 LOC post-frac=0.00 UNI post-frac=0.00
T104ca selective firing  : True
T104cb selective potent.  : False (>=0.5)
T104cc persistent recall  : False (>=0.5)
T104cd containment        : True (<0.25)

BET-104c: NULL/FAIL
DONE
