=== BET-104e: n_emit=8 wall=ON@15.0 ===
[LOC] 500s [WARM]: stim=6.00(n=3) ctrl=0.00(n=0)
[LOC] 1000s [WARM]: stim=1.12(n=1) ctrl=0.00(n=0)
[LOC] 1500s [WARM]: stim=6.00(n=1) ctrl=0.00(n=0)
[LOC] 2000s [STIM]: stim=3.67(n=15) ctrl=3.78(n=9)
[LOC] 2500s [STIM]: stim=5.09(n=11) ctrl=2.25(n=8)
[LOC] 3000s [STIM]: stim=3.92(n=12) ctrl=5.38(n=8)
[LOC] field cleared at STIM end
[LOC] 3500s [POST]: stim=3.50(n=2) ctrl=5.44(n=9)
[LOC] 4000s [POST]: stim=4.00(n=5) ctrl=3.92(n=12)
[LOC] 4500s [POST]: stim=3.00(n=10) ctrl=4.89(n=9)
[LOC] 5000s [POST]: stim=4.57(n=7) ctrl=2.88(n=8)
[LOC] 5500s [POST]: stim=5.29(n=14) ctrl=3.00(n=10)
[LOC] 6000s [POST]: stim=3.00(n=5) ctrl=3.14(n=7)
[LOC] 6500s [POST]: stim=2.25(n=4) ctrl=3.14(n=21)
[LOC] 7000s [POST]: stim=3.50(n=2) ctrl=2.56(n=16)
[LOC] 7500s [POST]: stim=4.46(n=13) ctrl=2.00(n=5)
[LOC] 8000s [POST]: stim=3.31(n=13) ctrl=4.75(n=4)
[LOC] 8500s [POST]: stim=4.33(n=9) ctrl=4.33(n=9)
[LOC] 9000s [POST]: stim=4.00(n=5) ctrl=4.57(n=7)
[LOC] 9500s [POST]: stim=1.63(n=8) ctrl=4.53(n=17)
[LOC] 10000s [POST]: stim=1.83(n=6) ctrl=3.86(n=21)
[LOC] 10500s [POST]: stim=4.33(n=3) ctrl=3.50(n=20)
[LOC] 11000s [POST]: stim=1.83(n=6) ctrl=3.69(n=13)
[LOC] 11500s [POST]: stim=3.00(n=10) ctrl=4.18(n=11)
[LOC] 12000s [POST]: stim=3.50(n=14) ctrl=3.73(n=11)
[LOC] 12500s [POST]: stim=2.25(n=12) ctrl=2.67(n=15)
[LOC] 13000s [POST]: stim=6.00(n=10) ctrl=2.43(n=7)
[LOC] 13500s [POST]: stim=4.57(n=7) ctrl=1.00(n=12)
[LOC] 14000s [POST]: stim=2.50(n=10) ctrl=5.00(n=10)
[LOC] 14500s [POST]: stim=1.94(n=16) ctrl=6.00(n=5)
[LOC] 15000s [POST]: stim=2.67(n=6) ctrl=5.00(n=5)
[LOC] 15500s [POST]: stim=5.44(n=9) ctrl=1.91(n=11)
[LOC] 16000s [POST]: stim=4.21(n=14) ctrl=2.54(n=13)
[LOC] 16500s [POST]: stim=6.00(n=8) ctrl=1.91(n=11)
[LOC] 17000s [POST]: stim=5.29(n=7) ctrl=3.22(n=9)
[LOC] 17500s [POST]: stim=4.75(n=4) ctrl=3.50(n=10)
[LOC] 18000s [POST]: stim=3.31(n=13) ctrl=3.00(n=15)
[LOC] 18500s [POST]: stim=1.71(n=7) ctrl=3.86(n=7)
[LOC] 19000s [POST]: stim=2.90(n=21) ctrl=4.33(n=3)
[LOC] 19500s [POST]: stim=2.54(n=13) ctrl=6.00(n=9)
[LOC] 20000s [POST]: stim=3.50(n=4) ctrl=4.08(n=13)
[UNI] 500s [WARM]: stim=6.00(n=3) ctrl=0.00(n=0)
[UNI] 1000s [WARM]: stim=1.12(n=1) ctrl=0.00(n=0)
[UNI] 1500s [WARM]: stim=6.00(n=1) ctrl=0.00(n=0)
[UNI] 2000s [STIM]: stim=3.08(n=12) ctrl=1.00(n=1)
[UNI] 2500s [STIM]: stim=2.25(n=8) ctrl=0.00(n=0)
[UNI] 3000s [STIM]: stim=2.00(n=5) ctrl=3.50(n=6)
[UNI] field cleared at STIM end
[UNI] 3500s [POST]: stim=6.00(n=1) ctrl=1.00(n=5)
[UNI] 4000s [POST]: stim=1.00(n=6) ctrl=2.67(n=3)
[UNI] 4500s [POST]: stim=1.00(n=7) ctrl=3.00(n=5)
[UNI] 5000s [POST]: stim=1.00(n=3) ctrl=3.86(n=7)
[UNI] 5500s [POST]: stim=0.00(n=0) ctrl=2.43(n=7)
[UNI] 6000s [POST]: stim=6.00(n=2) ctrl=1.00(n=3)
[UNI] 6500s [POST]: stim=3.50(n=4) ctrl=1.00(n=11)
[UNI] 7000s [POST]: stim=0.00(n=0) ctrl=1.83(n=6)
[UNI] 7500s [POST]: stim=0.00(n=0) ctrl=2.25(n=8)
[UNI] 8000s [POST]: stim=1.00(n=5) ctrl=1.83(n=12)
