1000s (11s): atoms=18 comp=18 deg=3.0 sv=0.69 inside=53 | best_size=18 best_sv=0.69
2000s (22s): atoms=21 comp=18 deg=3.0 sv=0.66 inside=105 | best_size=18 best_sv=0.69
3000s (32s): atoms=22 comp=18 deg=3.0 sv=0.63 inside=65 | best_size=18 best_sv=0.69
4000s (43s): atoms=22 comp=18 deg=3.0 sv=0.73 inside=43 | best_size=18 best_sv=0.73
5000s (54s): atoms=22 comp=18 deg=3.0 sv=0.69 inside=93 | best_size=18 best_sv=0.73
6000s (64s): atoms=22 comp=18 deg=3.0 sv=0.71 inside=59 | best_size=18 best_sv=0.73
7000s (74s): atoms=22 comp=18 deg=3.0 sv=0.45 inside=58 | best_size=18 best_sv=0.73
8000s (83s): atoms=22 comp=18 deg=3.0 sv=0.52 inside=45 | best_size=18 best_sv=0.73
9000s (93s): atoms=22 comp=18 deg=3.0 sv=0.65 inside=56 | best_size=18 best_sv=0.73
10000s (103s): atoms=22 comp=18 deg=3.0 sv=0.68 inside=79 | best_size=18 best_sv=0.73
11000s (112s): atoms=22 comp=18 deg=3.0 sv=0.59 inside=66 | best_size=18 best_sv=0.73
12000s (122s): atoms=22 comp=18 deg=3.0 sv=0.72 inside=51 | best_size=18 best_sv=0.73
13000s (132s): atoms=22 comp=18 deg=3.0 sv=0.66 inside=82 | best_size=18 best_sv=0.73
14000s (142s): atoms=22 comp=18 deg=3.0 sv=0.64 inside=62 | best_size=18 best_sv=0.73
15000s (152s): atoms=22 comp=18 deg=3.0 sv=0.65 inside=33 | best_size=18 best_sv=0.73
16000s (162s): atoms=22 comp=18 deg=3.0 sv=0.69 inside=41 | best_size=18 best_sv=0.73
17000s (171s): atoms=22 comp=18 deg=3.0 sv=0.55 inside=42 | best_size=18 best_sv=0.73
18000s (181s): atoms=22 comp=18 deg=3.0 sv=0.75 inside=56 | best_size=18 best_sv=0.75
19000s (191s): atoms=22 comp=18 deg=3.0 sv=0.66 inside=72 | best_size=18 best_sv=0.75
20000s (202s): atoms=22 comp=18 deg=3.0 sv=0.79 inside=70 | best_size=18 best_sv=0.79
21000s (212s): atoms=22 comp=18 deg=3.0 sv=0.68 inside=50 | best_size=18 best_sv=0.79
22000s (222s): atoms=22 comp=18 deg=3.0 sv=0.77 inside=52 | best_size=18 best_sv=0.79
23000s (233s): atoms=22 comp=18 deg=3.0 sv=0.58 inside=80 | best_size=18 best_sv=0.79
24000s (243s): atoms=22 comp=18 deg=3.0 sv=0.67 inside=73 | best_size=18 best_sv=0.79
25000s (254s): atoms=22 comp=18 deg=3.0 sv=0.72 inside=48 | best_size=18 best_sv=0.79
26000s (264s): atoms=22 comp=18 deg=3.0 sv=0.64 inside=82 | best_size=18 best_sv=0.79
27000s (275s): atoms=22 comp=18 deg=3.0 sv=0.79 inside=33 | best_size=18 best_sv=0.79
28000s (285s): atoms=22 comp=18 deg=3.0 sv=0.68 inside=48 | best_size=18 best_sv=0.79
29000s (296s): atoms=22 comp=18 deg=3.0 sv=0.80 inside=78 | best_size=18 best_sv=0.80
30000s (306s): atoms=22 comp=18 deg=3.0 sv=0.67 inside=75 | best_size=18 best_sv=0.80

DONE: best_size=18 best_sv_ratio=0.80
