=== BET-104d: n_emit=32 wall=OFF ===
[LOC] 500s [WARM]: stim=1.00(n=2) ctrl=0.00(n=0)
[LOC] 1000s [WARM]: stim=6.00(n=1) ctrl=0.00(n=0)
[LOC] 1500s [WARM]: stim=0.00(n=0) ctrl=6.50(n=1)
[LOC] 2000s [STIM]: stim=1.00(n=9) ctrl=3.50(n=2)
[LOC] 2500s [STIM]: stim=1.00(n=16) ctrl=2.67(n=3)
[LOC] 3000s [STIM]: stim=1.00(n=5) ctrl=2.25(n=4)
[LOC] field cleared at STIM end
[LOC] 3500s [POST]: stim=1.00(n=4) ctrl=1.38(n=13)
[LOC] 4000s [POST]: stim=1.00(n=3) ctrl=1.00(n=4)
[LOC] 4500s [POST]: stim=1.00(n=11) ctrl=1.00(n=2)
[LOC] 5000s [POST]: stim=1.00(n=1) ctrl=1.00(n=10)
[LOC] 5500s [POST]: stim=1.00(n=2) ctrl=1.00(n=14)
[LOC] 6000s [POST]: stim=1.00(n=2) ctrl=1.88(n=17)
[LOC] 6500s [POST]: stim=1.00(n=2) ctrl=1.00(n=13)
[LOC] 7000s [POST]: stim=2.67(n=3) ctrl=1.00(n=4)
[LOC] 7500s [POST]: stim=2.00(n=10) ctrl=1.00(n=7)
[LOC] 8000s [POST]: stim=1.56(n=9) ctrl=1.00(n=7)
[LOC] 8500s [POST]: stim=1.00(n=5) ctrl=1.00(n=3)
[LOC] 9000s [POST]: stim=1.00(n=10) ctrl=1.00(n=4)
[LOC] 9500s [POST]: stim=1.00(n=8) ctrl=1.00(n=9)
[LOC] 10000s [POST]: stim=1.00(n=7) ctrl=1.62(n=8)
[LOC] 10500s [POST]: stim=1.00(n=5) ctrl=2.43(n=7)
[LOC] 11000s [POST]: stim=1.00(n=7) ctrl=2.00(n=15)
[LOC] 11500s [POST]: stim=1.00(n=13) ctrl=2.00(n=10)
[LOC] 12000s [POST]: stim=1.00(n=11) ctrl=2.07(n=14)
[LOC] 12500s [POST]: stim=1.00(n=8) ctrl=1.77(n=13)
[LOC] 13000s [POST]: stim=1.00(n=7) ctrl=1.62(n=8)
[LOC] 13500s [POST]: stim=1.00(n=11) ctrl=1.00(n=3)
[LOC] 14000s [POST]: stim=1.56(n=9) ctrl=1.00(n=6)
[LOC] 14500s [POST]: stim=2.15(n=13) ctrl=1.00(n=9)
[LOC] 15000s [POST]: stim=1.42(n=12) ctrl=1.00(n=5)
[LOC] 15500s [POST]: stim=1.00(n=13) ctrl=1.00(n=2)
[LOC] 16000s [POST]: stim=1.00(n=12) ctrl=2.87(n=8)
[LOC] 16500s [POST]: stim=1.00(n=5) ctrl=2.25(n=8)
[LOC] 17000s [POST]: stim=1.00(n=5) ctrl=1.00(n=15)
[LOC] 17500s [POST]: stim=1.00(n=6) ctrl=1.00(n=18)
[LOC] 18000s [POST]: stim=1.00(n=6) ctrl=1.00(n=10)
[LOC] 18500s [POST]: stim=1.00(n=3) ctrl=1.00(n=4)
[LOC] 19000s [POST]: stim=1.71(n=7) ctrl=1.00(n=10)
[LOC] 19500s [POST]: stim=1.91(n=11) ctrl=1.00(n=6)
[LOC] 20000s [POST]: stim=2.50(n=10) ctrl=1.00(n=7)
[UNI] 500s [WARM]: stim=1.00(n=2) ctrl=0.00(n=0)
[UNI] 1000s [WARM]: stim=6.00(n=1) ctrl=0.00(n=0)
